28.275	-23.309	0.55029	-4.906	0.11217	19.112
28.425	-22.309	0.45706	-4.9101	0.093085	19.128
28.575	-21.309	0.57473	-4.9674	0.1157	19.143
28.725	-20.309	0.49198	-4.9383	0.099625	19.156
28.875	-19.309	0.55365	-4.9193	0.11255	19.162
29.025	-18.309	0.56686	-4.9702	0.11405	19.164
29.175	-17.309	0.52672	-4.8694	0.10817	19.152
29.325	-16.309	0.63755	-4.8266	0.13209	19.16
29.475	-15.309	0.54928	-4.9103	0.11186	19.155
29.625	-14.309	0.63435	-4.8966	0.12955	19.142
29.775	-13.309	0.5695	-4.9524	0.11499	19.134
29.925	-12.309	0.58436	-4.9106	0.119	19.128
30.075	-11.309	0.62017	-5.001	0.12401	19.117
30.225	-10.309	0.58389	-5.0081	0.11659	19.086
30.375	-9.3088	0.56842	-4.9326	0.11524	19.079
30.525	-8.3088	0.55848	-4.9477	0.11288	19.08
30.675	-7.3088	0.59136	-4.8516	0.12189	19.067
30.825	-6.3088	0.51831	-4.9342	0.10504	19.084
30.975	-5.3088	0.65676	-4.9291	0.13324	19.077
31.125	-4.3088	0.55336	-4.8704	0.11362	19.085
31.275	-3.3088	0.6113	-4.9169	0.12433	19.094
31.425	-2.3088	0.55707	-4.9499	0.11254	19.089
31.575	-1.3088	3.2298	-4.9858	0.6478	19.093
31.725	-0.30876	22.404	-4.9659	4.5117	19.094
31.875	0.69124	58.44	-4.966	11.768	19.103
32.025	1.6912	78.278	-4.9716	15.745	19.103
32.175	2.6912	85.92	-5.0364	17.06	19.1
32.325	3.6912	88.204	-4.888	18.045	19.119
32.475	4.6912	87.612	-4.9062	17.857	19.12
32.625	5.6912	85.733	-4.904	17.482	19.125
32.775	6.6912	83.06	-5.0041	16.598	19.135
32.925	7.6912	80.824	-4.9493	16.33	19.15
33.075	8.6912	78.344	-4.981	15.729	19.167
33.225	9.6912	76.601	-4.9607	15.442	19.178
33.375	10.691	75.025	-5.0142	14.962	19.185
33.525	11.691	73.839	-4.9995	14.769	19.201
33.675	12.691	72.895	-4.9386	14.76	19.218
